Symbol,Name,Last Sale,Market Cap,% Change,Sector,Industry
A,Agilent Technologies Inc. Common Stock,$147.45,43211001626.0,-0.867%,Industrials,Biotechnology: Laboratory Analytical Instruments
AAL,American Airlines Group Inc. Common Stock,$14.82,9703496013.0,0.271%,Consumer Discretionary,Air Freight/Delivery Services
AAPL,Apple Inc. Common Stock,$172.28,2660327258680.0,0.531%,Technology,Computer Manufacturing
ABBV,AbbVie Inc. Common Stock,$178.45,315227170914.0,0.535%,Health Care,Biotechnology: Pharmaceutical Preparations
ABNB,Airbnb Inc. Class A Common Stock,$167.86,108616275338.0,-0.19%,Consumer Discretionary,Hotels/Resorts
ABT,Abbott Laboratories Common Stock,$110.57,191859326835.0,-0.843%,Health Care,Biotechnology: Pharmaceutical Preparations
ACGL,Arch Capital Group Ltd. Common Stock,$90.68,33928032176.0,-0.011%,Finance,Property-Casualty Insurers
ACN,Accenture plc Class A Ordinary Shares (Ireland),$337.50,225055122300.0,-2.182%,Consumer Discretionary,Business Services
ADBE,Adobe Inc. Common Stock,$499.52,225783040000.0,-2.294%,Technology,Computer Software: Prepackaged Software
ADI,Analog Devices Inc. Common Stock,$193.51,95963186107.0,-0.84%,Technology,Semiconductors
ADM,Archer-Daniels-Midland Company Common Stock,$62.00,31610647486.0,-0.752%,Consumer Staples,Packaged Foods
ADP,Automatic Data Processing Inc. Common Stock,$247.61,101715852295.0,-0.538%,Technology,EDP Services
ADSK,Autodesk Inc. Common Stock,$262.86,56229782330.0,-1.087%,Technology,Computer Software: Prepackaged Software
AEE,Ameren Corporation Common Stock,$71.68,19087585987.0,-0.167%,Utilities,Power Generation
AEP,American Electric Power Company Inc. Common Stock,$82.95,43647011326.0,-0.181%,Utilities,Electric Utilities: Central
AES,The AES Corporation Common Stock,$16.24,11535062228.0,3.046%,Utilities,Electric Utilities: Central
AFL,AFLAC Incorporated Common Stock,$84.16,48561020884.0,-1.012%,Finance,Accident &Health Insurance
AIG,American International Group Inc. New Common Stock,$76.38,52011239940.0,-1.331%,Finance,Life Insurance
AIZ,Assurant Inc. Common Stock,$179.68,9339341277.0,0.078%,Finance,Property-Casualty Insurers
AJG,Arthur J. Gallagher & Co. Common Stock,$246.53,53447704000.0,-1.506%,Finance,Specialty Insurers
AKAM,Akamai Technologies Inc. Common Stock,$108.97,16512256791.0,-0.16%,Consumer Discretionary,Business Services
ALB,Albemarle Corporation Common Stock,$120.86,14189320416.0,-3.204%,Industrials,Major Chemicals
ALGN,Align Technology Inc. Common Stock,$319.42,23989761843.0,-0.576%,Health Care,Industrial Specialties
ALL,Allstate Corporation (The) Common Stock,$165.25,43471890329.0,1.899%,Finance,Property-Casualty Insurers
ALLE,Allegion plc Ordinary Shares,$134.12,11742794519.0,-0.865%,Consumer Discretionary,Diversified Commercial Services
